Trait	Heritability	pop	N
ASV_432	0.112317237862548	Inbred	HN
ASV_779	0.0144925732688589	Inbred	HN
ASV_16	0	Inbred	HN
ASV_1582	0	Inbred	HN
ASV_99	0	Inbred	HN
ASV_809	0.0671884234271811	Inbred	HN
ASV_644	0	Inbred	HN
ASV_958	0.0302900000134843	Inbred	HN
ASV_476	0	Inbred	HN
ASV_2542	0	Inbred	HN
ASV_2019	0.0107699110241368	Inbred	HN
ASV_1001	0	Inbred	HN
ASV_572	0.134278277450098	Inbred	HN
ASV_1471	0	Inbred	HN
ASV_1576	0	Inbred	HN
ASV_2686	0	Inbred	HN
ASV_1658	0.0000000009445301872961	Inbred	HN
ASV_2509	0.0142516159135585	Inbred	HN
ASV_2266	0.0185166326344155	Inbred	HN
ASV_1738	0.00000000494678702469377	Inbred	HN
ASV_794	0.0175914393652802	Inbred	HN
ASV_521	0.000000130602512297411	Inbred	HN
ASV_1236	0	Inbred	HN
ASV_1436	0.00000000353232932555763	Inbred	HN
ASV_1367	0	Inbred	HN
ASV_261	0	Inbred	HN
ASV_1212	0	Inbred	HN
ASV_1369	0.187470284258844	Inbred	HN
ASV_1371	0.000000000396326615016629	Inbred	HN
ASV_1493	0	Inbred	HN
ASV_747	0.144352984436535	Inbred	HN
ASV_2156	0	Inbred	HN
ASV_936	0	Inbred	HN
ASV_2363	0	Inbred	HN
ASV_1276	0	Inbred	HN
ASV_1083	0	Inbred	HN
ASV_1505	0	Inbred	HN
ASV_1180	0	Inbred	HN
ASV_1997	0	Inbred	HN
ASV_2038	0	Inbred	HN
ASV_502	0.046207962048406	Inbred	HN
ASV_2328	0	Inbred	HN
ASV_200	0.090543376360951	Inbred	HN
ASV_676	0	Inbred	HN
ASV_1730	0	Inbred	HN
ASV_2020	0.0219277226457276	Inbred	HN
ASV_1739	0.00355992101974266	Inbred	HN
ASV_568	0.0361594034609215	Inbred	HN
ASV_141	0.0632448495766523	Inbred	HN
ASV_301	0.083046346828649	Inbred	HN
ASV_663	0.00110671713647182	Inbred	HN
ASV_1082	0	Inbred	HN
ASV_758	0	Inbred	HN
ASV_1793	0.0434102793457044	Inbred	HN
ASV_1061	0.0103350336156456	Inbred	HN
ASV_1656	0	Inbred	HN
ASV_1623	0	Inbred	HN
ASV_1911	0.0000000764303322390751	Inbred	HN
ASV_759	0.000462025014198582	Inbred	HN
ASV_1130	0.00000000580535451614561	Inbred	HN
ASV_1077	0	Inbred	HN
ASV_684	0.00000000446975424743198	Inbred	HN
ASV_167	0	Inbred	HN
ASV_508	0	Inbred	HN
ASV_1289	0.0442437972816199	Inbred	HN
ASV_2559	0	Inbred	HN
ASV_2274	0	Inbred	HN
ASV_1329	0.331733379139013	Inbred	HN
ASV_157	0.000000000209370416103348	Inbred	HN
ASV_2009	0	Inbred	HN
ASV_1837	0	Inbred	HN
ASV_2309	0	Inbred	HN
ASV_358	0.0237418102270779	Inbred	HN
ASV_2101	0.000000153649931819832	Inbred	HN
ASV_1325	0	Inbred	HN
ASV_1553	0.0703006440295908	Inbred	HN
ASV_974	0.0829421911393893	Inbred	HN
ASV_1472	0	Inbred	HN
ASV_1648	0	Inbred	HN
ASV_384	0.00000000234872101182487	Inbred	HN
ASV_256	0.226590153176734	Inbred	HN
ASV_2030	0.0152424534361655	Inbred	HN
ASV_805	0	Inbred	HN
ASV_908	0.0781335985269201	Inbred	HN
ASV_13	0.110540570685664	Inbred	HN
ASV_1333	0.0260343169543803	Inbred	HN
ASV_1663	0	Inbred	HN
ASV_1987	0	Inbred	HN
ASV_2790	0	Inbred	HN
ASV_250	0.0105342522488955	Inbred	HN
ASV_650	0.0239508445490789	Inbred	HN
ASV_433	0.0466466346040509	Inbred	HN
ASV_39	0.140980317375489	Inbred	HN
ASV_605	0.00000000296560570361	Inbred	HN
ASV_1134	0	Inbred	HN
ASV_1400	0	Inbred	HN
ASV_1614	0	Inbred	HN
ASV_555	0	Inbred	HN
ASV_2008	0	Inbred	HN
ASV_1602	0.00000000142338003980492	Inbred	HN
ASV_2611	0.00000000101915159183777	Inbred	HN
ASV_1970	0.001344769885115	Inbred	HN
ASV_332	0.120393905495084	Inbred	HN
ASV_246	0.0407916442660508	Inbred	HN
ASV_1755	0.0362854371298565	Inbred	HN
ASV_1408	0	Inbred	HN
ASV_273	0.0218799801140446	Inbred	HN
ASV_1117	0	Inbred	HN
ASV_746	0	Inbred	HN
ASV_1345	0.000000000491945662389528	Inbred	HN
ASV_668	0.160467980950497	Inbred	HN
ASV_148	0.145219909425413	Inbred	HN
ASV_2017	0.0000000716414588055533	Inbred	HN
ASV_648	0.052642736136863	Inbred	HN
ASV_368	0.000000000535354549475264	Inbred	HN
ASV_1215	0.0610420645082077	Inbred	HN
ASV_1243	0.0344387845628731	Inbred	HN
ASV_285	0.00321528416546157	Inbred	HN
ASV_935	0.0488131909372487	Inbred	HN
ASV_317	0.0287229194284445	Inbred	HN
ASV_1152	0.0216452952489513	Inbred	HN
ASV_1513	0.146831095710273	Inbred	HN
ASV_1278	0	Inbred	HN
ASV_1814	0	Inbred	HN
ASV_311	0.0999935189368229	Inbred	HN
ASV_842	0.00000000568090176276987	Inbred	HN
ASV_396	0.00000000174080421147364	Inbred	HN
ASV_1074	0.181554439687225	Inbred	HN
ASV_1196	0.00000000504130079955754	Inbred	HN
ASV_2641	0	Inbred	HN
ASV_2148	0	Inbred	HN
ASV_762	0	Inbred	HN
ASV_1843	0	Inbred	HN
ASV_371	0.0000000574715732600855	Inbred	HN
ASV_1368	0.176048175722474	Inbred	HN
ASV_2299	0	Inbred	HN
ASV_972	0.0343671215366936	Inbred	HN
ASV_1990	0	Inbred	HN
ASV_585	0.0548309691054642	Inbred	HN
ASV_312	0.0318025081537792	Inbred	HN
